username,created_at,text
Fashion_in_Life,2024-08-29 09:11:15+00:00,@Dior isn't that image too saturated?? 🤔
HeBackOnCrack,2024-08-29 07:52:06+00:00,@Dior Where can we watch this??
ElBuhoDeWake,2024-08-29 01:52:58+00:00,@TCOBeautyIsArt @Dior 🙄🙄🙄🙄🙄🙄🙄
Mavis94366,2024-08-28 18:56:49+00:00,@Dior Cant wait to see the movie 😍 and the hall of mirrors is just perfect choice for forever iconic Dior J’adore❤️
GATITAsoy_41,2024-08-28 18:45:19+00:00,@Dior BELLO
NeusaMaria32025,2024-08-28 18:30:30+00:00,@Dior Deslumbrante este salão
Kazumi97732713,2024-08-28 18:22:05+00:00,@emeraldeyes8915 @Dior It’s must be.  Soooo Beautiful 🩵🩵
souhila_dior,2024-08-28 17:47:21+00:00,@Dior 💛 https://t.co/swsnmAAgES
shannongarcla,2024-08-28 17:26:12+00:00,@Dior JOY by Rosalía when? 👀
FentyBom,2024-08-28 17:19:17+00:00,@Dior WE ARE SEATED.
steinhart_dan9,2024-08-28 17:17:47+00:00,@Dior https://t.co/VHe8Kkegkb
Chrystyan,2024-08-28 16:34:09+00:00,@Dior New music??
GaboHrr18,2024-08-28 16:30:28+00:00,@Dior @RihannaDaily Queremos un adelanto por favor.
LenaAllosh,2024-08-28 16:26:30+00:00,@Dior 😍
rihannamoments_,2024-08-28 16:19:00+00:00,@Dior ❤️❤️🫀
emeraldeyes8915,2024-08-28 16:11:00+00:00,@Dior … Versailles?????
elleshay99_elle,2024-08-28 15:59:27+00:00,"@Dior Can’t wait to watch 
#Rihanna"
Lauzmobb,2024-08-28 15:57:07+00:00,@Dior &lt;3
manalAL85822415,2024-08-28 15:51:26+00:00,@Dior 🤪🖤💛
WidowsC,2024-08-28 15:43:36+00:00,"@Dior 👍#WIDOWSEmpowerment. NAMBULABUCHIRO Women Group; a widows self-help group, earnestly seeking support for establishment of functional office for effectively coordinating group activities.

Your support highly appreciated🙏

Fundraising Link:
https://t.co/LS6uH9dTNb

😍NbWG Team🥰"
TCOBeautyIsArt,2024-08-28 15:41:51+00:00,@Dior This is the home of the wife beating rapist. This is a company that would rather profit off of misogyny and violence against women than have morals. #DiorSupportsAbuse #DumpDepp https://t.co/j4Pc1Vvy6s
queen_b4eva,2024-08-28 15:39:11+00:00,@Dior let’s gooo
BandoloRos35954,2024-08-28 15:32:22+00:00,"@Dior Je m'appelle Rosette,je voudrais travailler pour Dior, je suis une artisane, voilà mes œuvres https://t.co/V0Ve7xs6ET"
Fentylover88,2024-08-28 15:16:05+00:00,@Dior Are we getting a teaser before ?
shy66508159,2024-08-28 15:04:18+00:00,@Dior JISOO
AcquireXcel,2024-08-28 15:03:37+00:00,@Dior 😍😍😍💫
Koklikoowaa,2024-08-29 21:28:06+00:00,"@Dior @rihanna J'adore Rihanna 
Beauty +talent+ brain and most of all a good ♥️"
NeoVuitton_,2024-08-29 20:02:26+00:00,@Dior @rihanna I'm excited
Junior15581480,2024-08-29 15:40:24+00:00,@Dior @rihanna Aqui é o Júnior eu quero a música da RIHANNA jump
ezinay,2024-08-29 13:57:19+00:00,@Dior @rihanna https://t.co/Xttao67bwz
DebbysMusic,2024-08-29 07:41:29+00:00,@Dior @rihanna Looking forward to it 🥰 excited love Rihanna xxx
JimAdisa,2024-08-28 23:52:48+00:00,@Dior @rihanna Trip https://t.co/RT4S3CHmTn
ResinMaster1,2024-08-28 23:08:12+00:00,@Dior @rihanna @Dior 14 days to my wife's birthday I have my hopes 🙏🤲
mcowan16,2024-08-28 22:54:06+00:00,@Dior @rihanna Looking forward to it!
WidowsC,2024-08-28 18:49:10+00:00,"@Dior @rihanna 👍#WIDOWSEmpowerment. NAMBULABUCHIRO Women Group; a widows self-help group, earnestly seeking support for establishment of functional office for effectively coordinating group activities.

Your support highly appreciated🙏

Fundraising Link:
https://t.co/LS6uH9dlXD

😍NbWG Team🥰"
TCOBeautyIsArt,2024-08-28 18:43:06+00:00,@Dior @rihanna J'adore the film that highlights the wife beater brand and an abuse apologist. https://t.co/DjV9fuGRJu
phuckerih,2024-08-28 18:19:23+00:00,@Dior @rihanna WERE READY
FabrizioCajal1,2024-08-29 14:48:10+00:00,@Dior Nice😎😎😎
TCOBeautyIsArt,2024-08-29 11:23:37+00:00,@Dior Behold the rapist brand! #DiorSupportsAbuse https://t.co/oYUPc3MFVt
nieves137v,2024-08-29 10:32:08+00:00,@Dior Beautiful🩵
AnitaGkrm,2024-08-29 10:00:17+00:00,@Dior Maybe if I were a hundred years old.
MarisaHartung2,2024-08-29 09:28:34+00:00,@Dior I love the craftsmanship of your pieces. I did a PowerPoint on Christian Dior when I was 16 getting my first degree. He was so brilliant ✨🩵☺️.
Dior,2024-08-29 08:30:06+00:00,"Behold #DiorSavoirFaire in visual motion with the newest Dior Groove bag from #DiorAW24 by Maria Grazia Chiuri. Watch the elegant components come together flawlessly, and head over to https://t.co/s1u0GCl4hx to consider this icon further. https://t.co/0qjx7jD44T"
WidowsC,2024-08-28 19:22:39+00:00,"@Dior 👍#WIDOWSEmpowerment. NAMBULABUCHIRO Women Group; a widows self-help group, earnestly seeking support for establishment of functional office for effectively coordinating group activities.

Your support highly appreciated🙏

Fundraising Link:
https://t.co/LS6uH9dTNb

😍NbWG Team🥰"
NeusaMaria32025,2024-08-28 18:35:18+00:00,@Dior A cor e  o design da bolsa é linda
A20zina,2024-08-28 18:24:49+00:00,@Dior Omg i wanttt
JayZee95785903,2024-08-28 13:25:03+00:00,"@Dior So how much did this cost to make ? Are we back to this again ? Time people stopped being marks...Stop paying  thousands for a label....Dior exploits their workers..
https://t.co/IZTou4iTxp"
TCOBeautyIsArt,2024-08-28 13:19:41+00:00,@Dior Nothing serene about a brand that supports a violent rapist and misogynist. #DumpDepp #DiorSupportsAbuse https://t.co/KfioOKafu9
TCOBeautyIsArt,2024-08-28 13:19:05+00:00,@Dior Piece of the wife beater brand. No thank you! https://t.co/1XHaQ9wJHL
JimAdisa,2024-08-28 11:18:58+00:00,@Dior Trip https://t.co/fFuCSduX7v
JimAdisa,2024-08-28 11:18:36+00:00,@Dior Trip
Dior,2024-08-28 10:00:06+00:00,"Take in the serene air of #DiorSavoirFaire with the blue Dior Groove bag from #DiorAW24 by Maria Grazia Chiuri. Fine threads intertwine to sculpt the material, and expert assembly culminates in the finishings of the top handles. Peruse every detail https://t.co/s1u0GCl4hx https://t.co/GQXh6DEvk5"
V_BearWolf,2024-08-28 08:33:57+00:00,@Dior I need this one 👜❤️❤️
vbf_Alyx,2024-08-28 08:07:57+00:00,@Dior That colour is gorgeous x
manalAL85822415,2024-08-28 08:05:53+00:00,@Dior 🩵🤍🩵🤍🩵🤍🫶
JimAdisa,2024-08-30 20:21:32+00:00,@Dior Trip https://t.co/ZAegucPXHl
AnthonyMarkMurr,2024-08-30 17:52:56+00:00,@Dior Fenty J’Adore Dior
xAIPACTx,2024-08-30 02:16:40+00:00,@Dior https://t.co/EojfUr6elv
TCOBeautyIsArt,2024-08-30 02:07:40+00:00,@Dior Everything about the wife beater brand is ugly. #DiorSupportsAbuse https://t.co/hWSq4YNfJ0
