username,created_at,text
TheRealSadiyyah,2024-08-29 23:47:09+00:00,@Versace nice
katherine10231,2024-08-29 23:32:28+00:00,@Versace ningning💕
_CYB3RC1TRU5_,2024-08-29 23:16:36+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace @aespa_official @SMTOWNGLOBAL"
davi26791,2024-08-29 23:06:59+00:00,@Versace Ustedes me pueden ayudar ?
ReVeRene11,2024-08-29 23:01:30+00:00,@Versace So gorgeous
TheRealFer_,2024-08-29 22:22:09+00:00,@Versace very versace
actralune,2024-08-29 22:08:55+00:00,"@Versace 🎈🎈🎈🎈

NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
ningbutterfly2,2024-08-29 22:04:31+00:00,"@Versace Beautiful model ningning 😍 

NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
lukebluu,2024-08-29 21:38:20+00:00,"@Versace 🦋💕

NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
billy_russoo2,2024-08-29 18:27:37+00:00,@Versace Versace at it's best ~
FooD_Movies_2,2024-08-29 17:35:59+00:00,"@Versace How it's going 
Link : https://t.co/Fw0dtQx54t https://t.co/IPPwL2b9ct"
KookyNn,2024-08-29 17:34:48+00:00,"@Versace 相辅相成 完美的双方！
NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
Jkningr,2024-08-29 17:24:37+00:00,"@Versace 🔥
NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
rachalogss,2024-08-29 16:53:31+00:00,@Versace TAN MADREEEEE
aespaintl,2024-08-29 16:41:31+00:00,"@Versace ❤️‍🔥

NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
zoe_imnot,2024-08-29 16:24:30+00:00,@Versace 😩😩🔥🔥
zoe_imnot,2024-08-29 16:24:20+00:00,@Versace Sooo beautiful 💕
zoe_imnot,2024-08-29 16:24:13+00:00,@Versace Prettyyyy 🤩
zoe_imnot,2024-08-29 16:24:01+00:00,@Versace 😻
itsokOvO,2024-08-29 16:22:57+00:00,@Versace Gorgeous！！
xxttjy,2024-08-29 15:06:35+00:00,@Versace Omg 😭😭😭
L_rongfany,2024-08-29 15:04:49+00:00,@Versace 这简直是完美的合作🥰狂野美学，刚柔并济🤩
IkWH4oNM271565,2024-08-29 14:48:35+00:00,@Versace 🖤🖤🖤🖤🖤🖤
donghea_oppa_,2024-08-29 14:26:18+00:00,@Versace ningning
june6hae,2024-08-29 14:25:38+00:00,@Versace thank you versace ❤️‍🔥
imluckystar8,2024-08-29 14:25:15+00:00,"@Versace A top brand and a top idol - they are the perfect combination. Ning Yi Zhuo is truly “the Versace human”

NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
nnnnnnnnnnnking,2024-08-29 14:23:46+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
ringxz1023,2024-08-29 14:11:58+00:00,@Versace always the QUEEN
Qice_xay,2024-08-29 14:11:38+00:00,"@Versace Queen🔥

NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
ringxz1023,2024-08-29 14:11:27+00:00,@Versace SLAY❗❗❗❗
imnotningb92075,2024-08-29 14:02:45+00:00,@Versace so stunning！
forKLAV,2024-08-29 13:54:21+00:00,@Versace 🥰🥰
DavidCa03040704,2024-08-29 13:52:19+00:00,"@Versace Beautiful woman, have no idea who she is😏. I’m assuming a star from Asia 🤷🏻‍♂️"
Serein109880273,2024-08-29 13:50:09+00:00,"@Versace ❤️
NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING 
@Versace"
zoe_imnot,2024-08-29 13:31:47+00:00,@Versace 🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻
wngwngzto165932,2024-08-29 13:22:53+00:00,@Versace pretty
zoe_imnot,2024-08-29 13:16:07+00:00,@Versace Ningning 🫶🏻
zoe_imnot,2024-08-29 13:15:59+00:00,@Versace 😩🔥
zoe_imnot,2024-08-29 13:15:54+00:00,@Versace So pretty ❤️‍🔥
zoe_imnot,2024-08-29 13:15:47+00:00,@Versace Pretty girl 🫶🏻
likewater296657,2024-08-29 13:13:42+00:00,@Versace queen🔥🔥
akurindujeki,2024-08-29 13:05:08+00:00,@Versace her aura is mesmerizing
brownnnin,2024-08-29 13:02:06+00:00,@Versace Princesss 🧚‍♀️🦋
BBalen26607,2024-08-29 12:58:12+00:00,@Versace OMGGGG
