username,created_at,text
christo34036850,2024-08-26 14:47:11+00:00,@RalphLauren stunning
EQNMUSIC,2024-08-26 13:34:43+00:00,"@RalphLauren Renasantz Infinite Designs 🎨
https://t.co/Qx3YVypaFg https://t.co/bJsiHs04PL"
yanakaisdead,2024-08-31 12:53:39+00:00,@MIDCYS @ITZYofficial she gonna ate
wororororo123,2024-08-30 17:01:51+00:00,@MIDCYS Ryujin used to spell her named Rhujin (early mix9 era). Need a fact check tho on this.
killmydoubt,2024-08-30 12:56:27+00:00,@MIDCYS @ITZYofficial oh?? i like this! hope ryu attends the event
ITZYyuliaMIDZY,2024-08-30 12:55:48+00:00,@MIDCYS @ITZYofficial I hope😭
0912naong,2024-08-30 12:51:02+00:00,@MIDCYS @ITZYofficial Hope there’s an event and she gooooes !!
queenkacvlt,2024-08-30 12:23:18+00:00,@MIDCYS @ITZYofficial They wrote Rhujin 😭
huesputn1k,2024-08-30 11:59:44+00:00,@MIDCYS @ITZYofficial OMGGG
Narix_opl,2024-08-28 11:46:17+00:00,@Outfit_Luxy پاییز عزیزم لطفا زودتررررر😩
RosalineLOAss,2024-08-25 12:31:56+00:00,@Outfit_Luxy Simplicity
kirkman_li90552,2024-08-28 16:06:31+00:00,@Fashionista_com Love this post!
